期货代码,期货名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
TA507,PTA507,-0.44,4922.0,4922.0,4918.0,4918.0,-22.0,-,-,-,2,49200.0,4894.0,-,-,115.TA507,郑商所,2024-11-29 22:59:59,2024-11-29
m2509,豆粕2509,-0.45,2900.0,2917.0,2890.0,2915.0,-13.0,-,0.89,-,21698,630396670.0,2910.0,-,-,114.m2509,大商所,2024-11-29 23:00:00,2024-11-29
m2508,豆粕2508,-0.45,2895.0,2913.0,2888.0,2909.0,-13.0,-,1.0,-,2646,76793830.0,2908.0,-,-,114.m2508,大商所,2024-11-29 23:00:00,2024-11-29
ys,豆油次主连,-0.45,7998.0,8138.0,7932.0,8062.0,-36.0,-,1.76,-,138399,11147410700.0,8072.0,-,-,114.ys,大商所,2024-11-29 23:00:00,2024-11-29
y2505,豆油2505,-0.45,7998.0,8138.0,7932.0,8062.0,-36.0,-,1.76,-,138399,11147410700.0,8072.0,-,-,114.y2505,大商所,2024-11-29 23:00:00,2024-11-29
fu2512,燃油2512,-0.45,2876.0,2886.0,2871.0,2886.0,-13.0,-,-,-,33,950460.0,2886.0,-,-,113.fu2512,上期所,2024-11-29 23:00:00,2024-11-29
b2508,豆二2508,-0.45,3524.0,3560.0,3518.0,3552.0,-16.0,-,-,-,46,1629630.0,3551.0,-,-,114.b2508,大商所,2024-11-29 23:00:00,2024-11-29
hc2502,热卷2502,-0.46,3496.0,3499.0,3490.0,3497.0,-16.0,-,-,-,39,1363180.0,3508.0,-,-,113.hc2502,上期所,2024-11-29 23:00:00,2024-11-29
rb2502,螺纹钢2502,-0.46,3272.0,3287.0,3268.0,3283.0,-15.0,-,1.51,-,2891,94689640.0,3283.0,-,-,113.rb2502,上期所,2024-11-29 23:00:00,2024-11-29
SF508,硅铁508,-0.46,6466.0,6466.0,6464.0,6464.0,-30.0,-,-,-,3,96990.0,6496.0,-,-,115.SF508,郑商所,2024-11-29 21:00:00,2024-11-29
SMM,锰硅主连,-0.47,6366.0,6418.0,6352.0,6408.0,-30.0,-,0.86,-,81098,2588648160.0,6412.0,-,-,115.SMM,郑商所,2024-11-29 21:00:00,2024-11-29
SM501,锰硅501,-0.47,6366.0,6418.0,6352.0,6408.0,-30.0,-,0.86,-,81098,2588648160.0,6412.0,-,-,115.SM501,郑商所,2024-11-29 21:00:00,2024-11-29
SF505,硅铁505,-0.47,6362.0,6392.0,6352.0,6388.0,-30.0,-,1.08,-,6055,192851750.0,6388.0,-,-,115.SF505,郑商所,2024-11-29 21:00:00,2024-11-29
UR508,尿素508,-0.47,1904.0,1920.0,1901.0,1909.0,-9.0,-,-,-,34,1298120.0,1913.0,-,-,115.UR508,郑商所,2024-11-29 21:00:00,2024-11-29
m2511,豆粕2511,-0.48,2913.0,2931.0,2906.0,2928.0,-14.0,-,0.8,-,3265,95398940.0,2927.0,-,-,114.m2511,大商所,2024-11-29 23:00:00,2024-11-29
ec2506,欧线集运2506,-0.48,1828.0,1876.6,1800.7,1818.0,-8.8,-,0.65,-,5438,498768605.0,1815.6,-,-,142.ec2506,上海能源期货交易所,2024-11-29 21:00:00,2024-11-29
v2506,PVC2506,-0.49,5520.0,5520.0,5502.0,5511.0,-27.0,-,-,-,22,606245.0,5550.0,-,-,114.v2506,大商所,2024-11-29 23:00:00,2024-11-29
hcm,热卷主连,-0.49,3475.0,3492.0,3466.0,3488.0,-17.0,-,0.92,-,145320,5052777550.0,3489.0,-,-,113.hcm,上期所,2024-11-29 23:00:00,2024-11-29
hc2501,热卷2501,-0.49,3475.0,3492.0,3466.0,3488.0,-17.0,-,0.92,-,145320,5052777550.0,3489.0,-,-,113.hc2501,上期所,2024-11-29 23:00:00,2024-11-29
bs,豆二次主连,-0.49,3464.0,3499.0,3453.0,3481.0,-17.0,-,1.62,-,10130,352221020.0,3486.0,-,-,114.bs,大商所,2024-11-29 23:00:00,2024-11-29
b2505,豆二2505,-0.49,3464.0,3499.0,3453.0,3481.0,-17.0,-,1.59,-,10130,352221020.0,3486.0,-,-,114.b2505,大商所,2024-11-29 23:00:00,2024-11-29
ss2503,不锈钢2503,-0.49,13180.0,13230.0,13165.0,13205.0,-65.0,-,1.2,-,3752,247567400.0,13205.0,-,-,113.ss2503,上期所,2024-11-30 01:00:00,2024-11-29
v2510,PVC2510,-0.49,5665.0,5668.0,5659.0,5664.0,-28.0,-,-,-,8,226520.0,5702.0,-,-,114.v2510,大商所,2024-11-29 22:59:52,2024-11-29
ni2504,沪镍2504,-0.49,127080.0,127740.0,126940.0,126970.0,-630.0,-,-,-,67,8520210.0,127020.0,-,-,113.ni2504,上期所,2024-11-30 01:00:00,2024-11-29
v2507,PVC2507,-0.5,5559.0,5562.0,5543.0,5562.0,-28.0,-,-,-,20,555375.0,5596.0,-,-,114.v2507,大商所,2024-11-29 23:00:00,2024-11-29
SM412,锰硅412,-0.5,6328.0,6374.0,6326.0,6352.0,-32.0,-,1.93,-,1302,41325480.0,6374.0,-,-,115.SM412,郑商所,2024-11-29 21:00:00,2024-11-29
PXM,对二甲苯主连,-0.51,6664.0,6742.0,6644.0,6736.0,-34.0,-,1.0,-,34212,1141654440.0,6718.0,-,-,115.PXM,郑商所,2024-11-29 23:00:00,2024-11-29
PX501,对二甲苯501,-0.51,6664.0,6742.0,6644.0,6736.0,-34.0,-,1.0,-,34212,1141654440.0,6718.0,-,-,115.PX501,郑商所,2024-11-29 23:00:00,2024-11-29
CJ412,红枣412,-0.53,9400.0,9780.0,9305.0,9450.0,-50.0,-,-,-,220,10532500.0,9450.0,-,-,115.CJ412,郑商所,2024-11-29 21:00:00,2024-11-29
mm,豆粕主连,-0.54,2787.0,2809.0,2775.0,2807.0,-15.0,-,1.21,-,374801,10472244550.0,2801.0,-,-,114.mm,大商所,2024-11-29 23:00:00,2024-11-29
m2505,豆粕2505,-0.54,2787.0,2809.0,2775.0,2807.0,-15.0,-,1.21,-,374801,10472244550.0,2801.0,-,-,114.m2505,大商所,2024-11-29 23:00:00,2024-11-29
ssm,不锈钢主连,-0.54,13000.0,13030.0,12930.0,12985.0,-70.0,-,0.71,-,58875,3820883050.0,13005.0,-,-,113.ssm,上期所,2024-11-30 01:00:00,2024-11-29
ss2501,不锈钢2501,-0.54,13000.0,13030.0,12930.0,12985.0,-70.0,-,0.71,-,58875,3820883050.0,13005.0,-,-,113.ss2501,上期所,2024-11-30 01:00:00,2024-11-29
rb2503,螺纹钢2503,-0.54,3336.0,3353.0,3332.0,3352.0,-18.0,-,0.71,-,21177,707385360.0,3349.0,-,-,113.rb2503,上期所,2024-11-29 23:00:00,2024-11-29
hc2506,热卷2506,-0.54,3516.0,3516.0,3516.0,3516.0,-19.0,-,-,-,1,35160.0,3524.0,-,-,113.hc2506,上期所,2024-11-29 23:00:00,2024-11-29
v2511,PVC2511,-0.54,5698.0,5705.0,5693.0,5700.0,-31.0,-,-,-,7,199500.0,5752.0,-,-,114.v2511,大商所,2024-11-29 22:59:50,2024-11-29
SA509,纯碱509,-0.54,1651.0,1660.0,1649.0,1658.0,-9.0,-,0.96,-,1960,64836800.0,1657.0,-,-,115.SA509,郑商所,2024-11-29 23:00:00,2024-11-29
SF509,硅铁509,-0.56,6448.0,6474.0,6448.0,6460.0,-36.0,-,-,-,44,1420760.0,6466.0,-,-,115.SF509,郑商所,2024-11-29 21:00:00,2024-11-29
b2502,豆二2502,-0.56,3575.0,3607.0,3560.0,3606.0,-20.0,-,0.73,-,2291,82256320.0,3591.0,-,-,114.b2502,大商所,2024-11-29 23:00:00,2024-11-29
b2509,豆二2509,-0.56,3565.0,3599.0,3554.0,3591.0,-20.0,-,1.18,-,284,10160980.0,3587.0,-,-,114.b2509,大商所,2024-11-29 22:59:57,2024-11-29
b2503,豆二2503,-0.56,3564.0,3600.0,3552.0,3600.0,-20.0,-,1.15,-,1375,49206840.0,3584.0,-,-,114.b2503,大商所,2024-11-29 23:00:00,2024-11-29
SF510,硅铁510,-0.56,6406.0,6416.0,6404.0,6404.0,-36.0,-,-,-,18,577080.0,6444.0,-,-,115.SF510,郑商所,2024-11-29 21:00:00,2024-11-29
hc2507,热卷2507,-0.56,3520.0,3523.0,3520.0,3520.0,-20.0,-,-,-,33,1162300.0,3526.0,-,-,113.hc2507,上期所,2024-11-29 23:00:00,2024-11-29
b2504,豆二2504,-0.57,3486.0,3520.0,3476.0,3517.0,-20.0,-,1.54,-,1110,38874800.0,3511.0,-,-,114.b2504,大商所,2024-11-29 22:59:57,2024-11-29
b2506,豆二2506,-0.58,3437.0,3464.0,3426.0,3463.0,-20.0,-,-,-,324,11163580.0,3456.0,-,-,114.b2506,大商所,2024-11-29 23:00:00,2024-11-29
UR510,尿素510,-0.58,1888.0,1905.0,1888.0,1900.0,-11.0,-,-,-,15,568800.0,1902.0,-,-,115.UR510,郑商所,2024-11-29 21:00:00,2024-11-29
b2511,豆二2511,-0.58,3578.0,3578.0,3578.0,3578.0,-21.0,-,-,-,1,35780.0,3612.0,-,-,114.b2511,大商所,2024-11-29 22:59:58,2024-11-29
ms,豆粕次主连,-0.58,2891.0,2911.0,2882.0,2902.0,-17.0,-,0.52,-,59093,1712366190.0,2900.0,-,-,114.ms,大商所,2024-11-29 23:00:00,2024-11-29
m2501,豆粕2501,-0.58,2891.0,2911.0,2882.0,2902.0,-17.0,-,0.52,-,59093,1712366190.0,2900.0,-,-,114.m2501,大商所,2024-11-29 23:00:00,2024-11-29
jm2503,焦煤2503,-0.6,1251.0,1259.5,1243.0,1259.5,-7.5,-,-,-,26,1949730.0,1256.0,-,-,114.jm2503,大商所,2024-11-29 22:59:53,2024-11-29
ni2506,沪镍2506,-0.6,128150.0,128430.0,127860.0,128100.0,-770.0,-,-,-,67,8583460.0,127950.0,-,-,113.ni2506,上期所,2024-11-30 01:00:00,2024-11-29
b2507,豆二2507,-0.61,3448.0,3480.0,3444.0,3476.0,-21.0,-,-,-,110,3822280.0,3468.0,-,-,114.b2507,大商所,2024-11-29 22:59:57,2024-11-29
c2511,玉米2511,-0.61,2279.0,2284.0,2274.0,2278.0,-14.0,-,1.87,-,2241,51047460.0,2276.0,-,-,114.c2511,大商所,2024-11-29 23:00:00,2024-11-29
SF503,硅铁503,-0.62,6372.0,6402.0,6360.0,6394.0,-40.0,-,1.57,-,17965,572903850.0,6404.0,-,-,115.SF503,郑商所,2024-11-29 21:00:00,2024-11-29
rbm,螺纹钢主连,-0.63,3306.0,3324.0,3298.0,3318.0,-21.0,-,0.82,-,505703,16725574070.0,3318.0,-,-,113.rbm,上期所,2024-11-29 23:00:00,2024-11-29
rb2501,螺纹钢2501,-0.63,3306.0,3324.0,3298.0,3318.0,-21.0,-,0.82,-,505703,16725574070.0,3318.0,-,-,113.rb2501,上期所,2024-11-29 23:00:00,2024-11-29
SAS,纯碱次主连,-0.64,1561.0,1570.0,1555.0,1568.0,-10.0,-,1.27,-,84059,2626003160.0,1566.0,-,-,115.SAS,郑商所,2024-11-29 23:00:00,2024-11-29
SA505,纯碱505,-0.64,1561.0,1570.0,1555.0,1568.0,-10.0,-,1.27,-,84059,2626003160.0,1566.0,-,-,115.SA505,郑商所,2024-11-29 23:00:00,2024-11-29
y2508,豆油2508,-0.64,7800.0,7944.0,7796.0,7934.0,-50.0,-,-,-,42,3313060.0,7908.0,-,-,114.y2508,大商所,2024-11-29 23:00:00,2024-11-29
v2508,PVC2508,-0.66,5596.0,5616.0,5586.0,5616.0,-37.0,-,-,-,14,391835.0,5646.0,-,-,114.v2508,大商所,2024-11-29 23:00:00,2024-11-29
lh2507,生猪2507,-0.66,14215.0,14350.0,14215.0,14310.0,-95.0,-,1.72,-,775,176911200.0,14330.0,-,-,114.lh2507,大商所,2024-11-29 21:00:00,2024-11-29
PX504,对二甲苯504,-0.67,6840.0,6842.0,6840.0,6842.0,-46.0,-,-,-,3,102630.0,6948.0,-,-,115.PX504,郑商所,2024-11-29 22:59:46,2024-11-29
UR507,尿素507,-0.68,1904.0,1921.0,1899.0,1914.0,-13.0,-,-,-,39,1491360.0,1923.0,-,-,115.UR507,郑商所,2024-11-29 21:00:00,2024-11-29
jm2506,焦煤2506,-0.69,1301.0,1301.0,1301.0,1301.0,-9.0,-,-,-,1,78060.0,1310.0,-,-,114.jm2506,大商所,2024-11-29 22:59:55,2024-11-29
ni2509,沪镍2509,-0.7,129190.0,129720.0,128800.0,128800.0,-910.0,-,-,-,12,1550140.0,128730.0,-,-,113.ni2509,上期所,2024-11-30 01:00:00,2024-11-29
ni2508,沪镍2508,-0.7,128830.0,128830.0,128830.0,128830.0,-910.0,-,-,-,1,128830.0,128800.0,-,-,113.ni2508,上期所,2024-11-30 01:00:00,2024-11-29
y2511,豆油2511,-0.72,7742.0,7870.0,7742.0,7858.0,-56.0,-,-,-,26,2031920.0,7846.0,-,-,114.y2511,大商所,2024-11-29 22:59:57,2024-11-29
lhm,生猪主连,-0.72,15075.0,15210.0,15040.0,15160.0,-110.0,-,1.06,-,38527,9323157200.0,15180.0,-,-,114.lhm,大商所,2024-11-29 21:00:00,2024-11-29
lh2501,生猪2501,-0.72,15075.0,15210.0,15040.0,15160.0,-110.0,-,1.06,-,38527,9323157200.0,15180.0,-,-,114.lh2501,大商所,2024-11-29 21:00:00,2024-11-29
v2509,PVC2509,-0.74,5626.0,5668.0,5620.0,5668.0,-42.0,-,2.11,-,1264,35623490.0,5668.0,-,-,114.v2509,大商所,2024-11-29 23:00:00,2024-11-29
vs,PVC次主连,-0.74,5471.0,5514.0,5464.0,5511.0,-41.0,-,1.94,-,59197,1622375870.0,5515.0,-,-,114.vs,大商所,2024-11-29 23:00:00,2024-11-29
v2505,PVC2505,-0.74,5471.0,5514.0,5464.0,5511.0,-41.0,-,1.94,-,59197,1622375870.0,5515.0,-,-,114.v2505,大商所,2024-11-29 23:00:00,2024-11-29
ni2503,沪镍2503,-0.74,126630.0,127360.0,126480.0,126610.0,-950.0,-,0.95,-,1139,144531400.0,126710.0,-,-,113.ni2503,上期所,2024-11-30 01:00:00,2024-11-29
v2504,PVC2504,-0.75,5433.0,5456.0,5426.0,5456.0,-41.0,-,-,-,82,2229705.0,5482.0,-,-,114.v2504,大商所,2024-11-29 22:59:57,2024-11-29
ni2505,沪镍2505,-0.76,127420.0,128060.0,127270.0,127440.0,-980.0,-,0.96,-,2072,264472930.0,127380.0,-,-,113.ni2505,上期所,2024-11-30 01:00:00,2024-11-29
ss2412,不锈钢2412,-0.78,12755.0,12775.0,12685.0,12770.0,-100.0,-,0.07,-,456,28988700.0,12795.0,-,-,113.ss2412,上期所,2024-11-30 01:00:00,2024-11-29
RMS,菜粕次主连,-0.79,2253.0,2275.0,2244.0,2263.0,-18.0,-,0.62,-,58892,1330370280.0,2262.0,-,-,115.RMS,郑商所,2024-11-29 22:59:59,2024-11-29
RM501,菜粕501,-0.79,2253.0,2275.0,2244.0,2263.0,-18.0,-,0.54,-,58892,1330370280.0,2262.0,-,-,115.RM501,郑商所,2024-11-29 22:59:59,2024-11-29
SH510,烧碱510,-0.8,2738.0,2755.0,2738.0,2754.0,-22.0,-,-,-,6,494640.0,2766.0,-,-,115.SH510,郑商所,2024-11-29 22:59:46,2024-11-29
SA504,纯碱504,-0.83,1552.0,1560.0,1547.0,1557.0,-13.0,-,1.17,-,560,17371200.0,1556.0,-,-,115.SA504,郑商所,2024-11-29 23:00:00,2024-11-29
j2502,焦炭2502,-0.84,1896.0,1896.0,1896.0,1896.0,-16.0,-,-,-,1,189600.0,1907.0,-,-,114.j2502,大商所,2024-11-29 23:00:00,2024-11-29
UR509,尿素509,-0.84,1890.0,1912.0,1890.0,1907.0,-16.0,-,2.24,-,1007,38326420.0,1907.0,-,-,115.UR509,郑商所,2024-11-29 21:00:00,2024-11-29
SF412,硅铁412,-0.85,6310.0,6334.0,6300.0,6330.0,-54.0,-,-,-,203,6408710.0,6340.0,-,-,115.SF412,郑商所,2024-11-29 21:00:00,2024-11-29
jm,焦炭主连,-0.85,1862.5,1880.5,1862.0,1866.0,-16.0,-,0.83,-,4669,873269150.0,1875.5,-,-,114.jm,大商所,2024-11-29 22:59:59,2024-11-29
j2501,焦炭2501,-0.85,1862.5,1880.5,1862.0,1866.0,-16.0,-,0.83,-,4669,873269150.0,1875.5,-,-,114.j2501,大商所,2024-11-29 22:59:59,2024-11-29
ni2412,沪镍2412,-0.87,125820.0,126130.0,125590.0,125640.0,-1100.0,-,0.02,-,348,43826940.0,125390.0,-,-,113.ni2412,上期所,2024-11-30 01:00:00,2024-11-29
nis,沪镍次主连,-0.87,126250.0,126980.0,126060.0,126270.0,-1110.0,-,0.42,-,9223,1167026570.0,126270.0,-,-,113.nis,上期所,2024-11-30 01:00:00,2024-11-29
ni2502,沪镍2502,-0.87,126250.0,126980.0,126060.0,126270.0,-1110.0,-,0.84,-,9223,1167026570.0,126270.0,-,-,113.ni2502,上期所,2024-11-30 01:00:00,2024-11-29
b2510,豆二2510,-0.89,3573.0,3618.0,3573.0,3615.0,-32.0,-,-,-,12,431740.0,3618.0,-,-,114.b2510,大商所,2024-11-29 23:00:00,2024-11-29
m2503,豆粕2503,-0.9,2874.0,2901.0,2867.0,2896.0,-26.0,-,0.51,-,12326,355407760.0,2892.0,-,-,114.m2503,大商所,2024-11-29 22:59:58,2024-11-29
v2503,PVC2503,-0.91,5220.0,5259.0,5207.0,5234.0,-48.0,-,5.06,-,3641,95066665.0,5264.0,-,-,114.v2503,大商所,2024-11-29 22:59:59,2024-11-29
OIS,菜油次主连,-0.92,8811.0,8926.0,8750.0,8860.0,-82.0,-,1.71,-,117525,10397436750.0,8861.0,-,-,115.OIS,郑商所,2024-11-29 23:00:00,2024-11-29
OI505,菜油505,-0.92,8811.0,8926.0,8750.0,8860.0,-82.0,-,1.71,-,117525,10397436750.0,8861.0,-,-,115.OI505,郑商所,2024-11-29 23:00:00,2024-11-29
SA503,纯碱503,-0.92,1500.0,1513.0,1494.0,1507.0,-14.0,-,1.36,-,2281,68430000.0,1507.0,-,-,115.SA503,郑商所,2024-11-29 23:00:00,2024-11-29
nim,沪镍主连,-0.94,125980.0,126700.0,125800.0,126010.0,-1190.0,-,0.92,-,57390,7244632470.0,126010.0,-,-,113.nim,上期所,2024-11-30 01:00:00,2024-11-29
ni2501,沪镍2501,-0.94,125980.0,126700.0,125800.0,126010.0,-1190.0,-,0.89,-,57390,7244632470.0,126010.0,-,-,113.ni2501,上期所,2024-11-30 01:00:00,2024-11-29
OI507,菜油507,-0.94,8809.0,8925.0,8764.0,8877.0,-84.0,-,1.68,-,200,17668000.0,8867.0,-,-,115.OI507,郑商所,2024-11-29 23:00:00,2024-11-29
SA412,纯碱412,-0.95,1453.0,1462.0,1446.0,1462.0,-14.0,-,0.25,-,207,6011280.0,1462.0,-,-,115.SA412,郑商所,2024-11-29 22:59:58,2024-11-29
vm,PVC主连,-0.96,5153.0,5206.0,5143.0,5200.0,-50.0,-,1.69,-,407453,10514108360.0,5208.0,-,-,114.vm,大商所,2024-11-29 23:00:00,2024-11-29
v2501,PVC2501,-0.96,5153.0,5206.0,5143.0,5200.0,-50.0,-,1.69,-,407453,10514108360.0,5208.0,-,-,114.v2501,大商所,2024-11-29 23:00:00,2024-11-29
SFM,硅铁主连,-0.97,6318.0,6364.0,6310.0,6356.0,-62.0,-,1.05,-,68576,2171801920.0,6362.0,-,-,115.SFM,郑商所,2024-11-29 21:00:00,2024-11-29
SF501,硅铁501,-0.97,6318.0,6364.0,6310.0,6356.0,-62.0,-,1.05,-,68576,2171801920.0,6362.0,-,-,115.SF501,郑商所,2024-11-29 21:00:00,2024-11-29
PX412,对二甲苯412,-0.98,6500.0,6564.0,6500.0,6564.0,-64.0,-,0.18,-,21,689010.0,6220.0,-,-,115.PX412,郑商所,2024-11-29 22:59:49,2024-11-29
PK412,花生412,-0.98,7650.0,7784.0,7616.0,7784.0,-76.0,-,0.83,-,373,14349310.0,7816.0,-,-,115.PK412,郑商所,2024-11-29 21:00:00,2024-11-29
lhs,生猪次主连,-0.99,13525.0,13660.0,13525.0,13650.0,-135.0,-,1.31,-,10020,2175737360.0,13660.0,-,-,114.lhs,大商所,2024-11-29 21:00:00,2024-11-29
lh2503,生猪2503,-0.99,13525.0,13660.0,13525.0,13650.0,-135.0,-,1.31,-,10020,2175737360.0,13660.0,-,-,114.lh2503,大商所,2024-11-29 21:00:00,2024-11-29
v2502,PVC2502,-0.99,5191.0,5237.0,5182.0,5237.0,-52.0,-,1.74,-,4383,113938770.0,5239.0,-,-,114.v2502,大商所,2024-11-29 22:59:59,2024-11-29
UR506,尿素506,-1.0,1874.0,1894.0,1871.0,1891.0,-19.0,-,-,-,99,3728340.0,1896.0,-,-,115.UR506,郑商所,2024-11-29 21:00:00,2024-11-29
OIM,菜油主连,-1.0,8772.0,8889.0,8710.0,8814.0,-89.0,-,1.31,-,128862,11339856000.0,8812.0,-,-,115.OIM,郑商所,2024-11-29 23:00:00,2024-11-29
OI501,菜油501,-1.0,8772.0,8889.0,8710.0,8814.0,-89.0,-,1.31,-,128862,11339856000.0,8812.0,-,-,115.OI501,郑商所,2024-11-29 23:00:00,2024-11-29
ec2510,欧线集运2510,-1.02,1585.0,1630.1,1561.8,1630.1,-16.4,-,0.56,-,2508,200217415.0,1594.0,-,-,142.ec2510,上海能源期货交易所,2024-11-29 21:00:00,2024-11-29
OI503,菜油503,-1.05,8793.0,8911.0,8737.0,8852.0,-93.0,-,1.44,-,14333,1265173910.0,8847.0,-,-,115.OI503,郑商所,2024-11-29 23:00:00,2024-11-29
SH509,烧碱509,-1.05,2727.0,2755.0,2727.0,2746.0,-29.0,-,-,-,143,11767470.0,2754.0,-,-,115.SH509,郑商所,2024-11-29 22:59:59,2024-11-29
ni2510,沪镍2510,-1.05,129530.0,129530.0,129530.0,129530.0,-1380.0,-,-,-,1,129530.0,130620.0,-,-,113.ni2510,上期所,2024-11-30 01:00:00,2024-11-29
SH504,烧碱504,-1.08,2657.0,2674.0,2644.0,2674.0,-29.0,-,-,-,13,1035840.0,2686.0,-,-,115.SH504,郑商所,2024-11-29 22:59:59,2024-11-29
SHS,烧碱次主连,-1.11,2668.0,2694.0,2665.0,2687.0,-30.0,-,1.61,-,5587,449530020.0,2694.0,-,-,115.SHS,郑商所,2024-11-29 22:59:59,2024-11-29
SH505,烧碱505,-1.11,2668.0,2694.0,2665.0,2687.0,-30.0,-,1.61,-,5587,449530020.0,2694.0,-,-,115.SH505,郑商所,2024-11-29 22:59:59,2024-11-29
lh2505,生猪2505,-1.15,13750.0,13905.0,13735.0,13880.0,-160.0,-,1.64,-,5548,1226006160.0,13910.0,-,-,114.lh2505,大商所,2024-11-29 21:00:00,2024-11-29
URS,尿素次主连,-1.16,1878.0,1901.0,1875.0,1901.0,-22.0,-,1.66,-,26098,986504400.0,1902.0,-,-,115.URS,郑商所,2024-11-29 21:00:00,2024-11-29
UR505,尿素505,-1.16,1878.0,1901.0,1875.0,1901.0,-22.0,-,1.66,-,26098,986504400.0,1902.0,-,-,115.UR505,郑商所,2024-11-29 21:00:00,2024-11-29
UR504,尿素504,-1.16,1877.0,1897.0,1876.0,1897.0,-22.0,-,-,-,37,1398600.0,1899.0,-,-,115.UR504,郑商所,2024-11-29 21:00:00,2024-11-29
UR503,尿素503,-1.16,1869.0,1896.0,1866.0,1896.0,-22.0,-,-,-,262,9861680.0,1896.0,-,-,115.UR503,郑商所,2024-11-29 21:00:00,2024-11-29
fbs,纤维板次主连,-1.22,1380.0,1397.0,1380.0,1397.0,-17.0,-,-,-,2,27770.0,1397.0,-,-,114.fbs,大商所,2024-11-29 21:00:00,2024-11-29
fb2412,纤维板2412,-1.22,1380.0,1397.0,1380.0,1397.0,-17.0,-,-,-,2,27770.0,1397.0,-,-,114.fb2412,大商所,2024-11-29 21:00:00,2024-11-29
jm2502,焦煤2502,-1.23,1240.0,1248.0,1238.0,1245.5,-15.5,-,-,-,55,4096740.0,1254.0,-,-,114.jm2502,大商所,2024-11-29 22:59:47,2024-11-29
jmm,焦煤主连,-1.24,1233.0,1250.0,1228.0,1245.5,-15.5,-,1.07,-,38750,2879030250.0,1245.5,-,-,114.jmm,大商所,2024-11-29 22:59:59,2024-11-29
jm2501,焦煤2501,-1.24,1233.0,1250.0,1228.0,1245.5,-15.5,-,1.07,-,38750,2879030250.0,1245.5,-,-,114.jm2501,大商所,2024-11-29 22:59:59,2024-11-29
jm2504,焦煤2504,-1.26,1254.0,1254.0,1254.0,1254.0,-16.0,-,-,-,1,75240.0,1274.5,-,-,114.jm2504,大商所,2024-11-29 22:59:52,2024-11-29
SA502,纯碱502,-1.26,1488.0,1506.0,1484.0,1506.0,-19.0,-,1.54,-,1851,55196820.0,1497.0,-,-,115.SA502,郑商所,2024-11-29 23:00:00,2024-11-29
SAM,纯碱主连,-1.28,1465.0,1481.0,1460.0,1481.0,-19.0,-,1.17,-,347561,10197439740.0,1478.0,-,-,115.SAM,郑商所,2024-11-29 23:00:00,2024-11-29
SA501,纯碱501,-1.28,1465.0,1481.0,1460.0,1481.0,-19.0,-,1.17,-,347561,10197439740.0,1478.0,-,-,115.SA501,郑商所,2024-11-29 23:00:00,2024-11-29
UR412,尿素412,-1.33,1787.0,1807.0,1777.0,1803.0,-24.0,-,-,-,259,9303280.0,1812.0,-,-,115.UR412,郑商所,2024-11-29 21:00:00,2024-11-29
OI509,菜油509,-1.35,8694.0,8831.0,8682.0,8770.0,-119.0,-,2.62,-,1257,109886940.0,8766.0,-,-,115.OI509,郑商所,2024-11-29 22:59:59,2024-11-29
SH503,烧碱503,-1.37,2598.0,2630.0,2596.0,2628.0,-36.0,-,-,-,37,2901540.0,2633.0,-,-,115.SH503,郑商所,2024-11-29 22:59:50,2024-11-29
OI511,菜油511,-1.4,8678.0,8678.0,8678.0,8678.0,-123.0,-,-,-,1,86780.0,8832.0,-,-,115.OI511,郑商所,2024-11-29 22:59:59,2024-11-29
URM,尿素主连,-1.42,1800.0,1827.0,1795.0,1825.0,-26.0,-,1.36,-,126568,4584292960.0,1829.0,-,-,115.URM,郑商所,2024-11-29 21:00:00,2024-11-29
UR501,尿素501,-1.42,1800.0,1827.0,1795.0,1825.0,-26.0,-,1.36,-,126568,4584292960.0,1829.0,-,-,115.UR501,郑商所,2024-11-29 21:00:00,2024-11-29
UR502,尿素502,-1.47,1810.0,1834.0,1808.0,1833.0,-27.0,-,-,-,248,9037120.0,1839.0,-,-,115.UR502,郑商所,2024-11-29 21:00:00,2024-11-29
ecs,欧线集运次主连,-1.48,1766.0,1810.0,1740.1,1777.0,-26.6,-,0.63,-,14818,1314415585.0,1766.7,-,-,142.ecs,上海能源期货交易所,2024-11-29 21:00:00,2024-11-29
ec2504,欧线集运2504,-1.48,1766.0,1810.0,1740.1,1777.0,-26.6,-,0.63,-,14818,1314415585.0,1766.7,-,-,142.ec2504,上海能源期货交易所,2024-11-29 21:00:00,2024-11-29
jm2507,焦煤2507,-1.57,1317.5,1317.5,1317.5,1317.5,-21.0,-,-,-,2,158100.0,1338.5,-,-,114.jm2507,大商所,2024-11-29 22:59:52,2024-11-29
SH502,烧碱502,-1.57,2563.0,2600.0,2558.0,2597.0,-41.0,-,1.72,-,2470,191400300.0,2599.0,-,-,115.SH502,郑商所,2024-11-29 22:59:59,2024-11-29
SHM,烧碱主连,-1.91,2573.0,2605.0,2571.0,2596.0,-50.0,-,1.73,-,44924,3486551640.0,2609.0,-,-,115.SHM,郑商所,2024-11-29 23:00:00,2024-11-29
SH501,烧碱501,-1.91,2573.0,2605.0,2571.0,2596.0,-50.0,-,1.73,-,44924,3486551640.0,2609.0,-,-,115.SH501,郑商所,2024-11-29 23:00:00,2024-11-29
